r1_quadratic,r2_mean,r3_median,r4_capped_median,r4_capped_median_no_caps,Project
34841.578531160536,20350.682789963532,19200.416435953153,19241.198087769157,19213.297117904975,Project 81
27035.53395409808,12069.619486266105,12501.466437668252,12528.019531094695,12509.853100199876,Project 82
32371.95028495156,16770.332061403114,16750.561366771453,16786.139530592063,16761.798552912678,Project 83
15934.765736643503,4864.924412772234,2441.983712890535,2447.1704821385697,2443.621928167907,Project 84
34671.422283433356,18535.680169164574,19064.115384584864,19104.607533199847,19076.904628390108,Project 85
19836.505771327524,7153.902297968548,4954.489105367277,4965.012431790704,4957.812845694101,Project 86
20733.653130561735,11285.611985223608,2630.025027037568,2635.611195716659,2631.7893906393474,Project 87
33650.50277557239,18298.048911634873,18182.555421188903,18221.175137942733,18194.753266700896,Project 88
57370.59781531902,51946.88790925796,55004.09278063105,55120.921380037595,55040.99251285921,Project 89
71626.88569187044,76733.84489423766,79580.34153952794,79749.3700494506,79633.72835394456,Project 90
39971.62413686682,27514.788019132757,26488.24405033837,26544.505035597806,26506.01380279206,Project 91
32798.198312100896,18587.631691302155,15890.879628397088,15924.631829669233,15901.540093346419,Project 92
8060.409093167409,1437.4640511871924,446.8918412407747,0.0,447.1916405546639,Project 93
13870.992940840582,3566.244940699941,2557.2288420071072,2562.6603917131483,2558.944369975044,Project 94
15183.205745477328,4142.280851885808,3279.494781111441,3286.460422442284,3281.6948442912712,Project 95
9068.471198166768,1851.8258466632994,1116.2414738857908,924.0194727370726,922.6795853067186,Project 96
82136.5825749033,103416.32684519682,98420.58067556279,98629.6258213297,98486.60654544034,Project 97
37947.19138601615,21895.48136074671,23101.48619998616,23150.55371733833,23116.983931368653,Project 98
21333.296527569008,7360.794105582396,7933.980622724,7950.832384056892,7939.303167750775,Project 99
72934.63434786673,80767.92140197687,78079.93354515448,78245.77519105194,78132.31380441444,Project 100
18523.36431058094,7622.220697086036,3397.0251882398375,3404.240463955294,3399.3040971988175,Project 101
87952.64882754639,124337.0723298958,116614.71326244649,116862.40271484749,116692.94474442747,Project 102
35498.7314982995,20049.300074737326,18621.617757324264,18661.17004173242,18634.11014969297,Project 103
144920.66844286738,315324.41593442514,345822.9262693368,346557.4535758747,346054.9230668949,Project 104
187980.903151458,536931.3448348918,584289.999130904,400000.0,584681.9725899975,Project 105
90321.4813135629,139420.3742177583,109004.84474970125,109236.37085433904,109077.9711186585,Project 106
27265.705292541552,12570.869301485394,11867.504885144117,11892.711445312489,11875.466251841402,Project 107
26733.53183641091,11806.772155374554,11211.133516525984,11234.945945025063,11218.654553667417,Project 108
25239.37703766352,10727.551931873522,8814.106357845953,8832.82750474159,8820.019339007775,Project 109
12238.106839433825,2881.566103178132,1782.8200146323911,1746.3849647594295,1743.8525946829536,Project 110
8773.216029770912,1590.5314959112618,544.3949519915477,0.0,544.7601616866691,Project 111
58258.476147469606,51101.75004700349,52868.83783824539,52981.13115979017,52904.30512551119,Project 112
16864.880868006432,4667.486789535819,4388.045367129602,4397.365568017538,4390.989106238215,Project 113
62079.69939908884,58364.56478207303,58163.76994054691,58287.30968886091,58202.78935578836,Project 114
59741.95711581799,53644.107629791186,56048.27184422467,56167.318278184284,56085.87206846891,Project 115
22693.37032452689,9346.89889544971,5874.788039580673,5887.266079373309,5878.729166405949,Project 116
30520.392685553084,15009.95557763639,15452.7502875473,15485.571902845515,15463.116831543819,Project 117
11714.371602910813,2636.4697160615106,1956.6135373638854,1911.2423334528446,1908.470909630608,Project 118
11944.054468578941,2606.621434708953,1821.844283063837,1825.7138772188764,1823.0664751373354,Project 119
26268.211156458146,12686.030706311138,9266.640323257707,9286.322651525314,9272.856888776685,Project 120
58430.25064955231,52197.04009354499,55953.331316921256,56072.17609736255,55990.867849904396,Project 121
19951.633915496484,6319.77604372808,6725.459263342714,6739.744127366119,6729.971066617398,Project 122
51868.40424057492,42070.8835148692,42279.088561750475,42368.889273863926,42307.451670165,Project 123
45072.149582255384,33391.458058803924,32337.17461490579,32405.858718724972,32358.86814758643,Project 124
34363.22690819176,19853.073039384857,18082.72841632605,18121.136100691536,18094.85929246245,Project 125
65781.76767615676,65590.12965750966,65884.63222142737,66024.57106807907,65928.83121033928,Project 126
21691.838956825653,7493.922319293412,7786.884821865107,7803.424151967447,7792.108687041182,Project 127
17042.366430219634,5069.135145976332,4625.387478870311,4635.211793999443,4628.490439955452,Project 128
18675.979434260225,6082.698249548061,5291.0985968622135,5302.336881272406,5294.648153114248,Project 129
125040.79779652802,232188.0962090582,245526.55967587963,246048.05767055508,245691.27222450895,Project 130
10323.434764788813,2097.153729947247,1622.8651991162487,1578.8998304973402,1576.6103245950403,Project 131
11929.497073256322,3552.7986728431583,630.3364115490394,0.0,630.7592754419607,Project 132
30849.687477297688,15761.685164310056,14174.252065082239,14204.358152332934,14183.76092304708,Project 133
17317.089710872253,4993.365321652959,4341.559008448051,4350.780472389303,4344.471561982993,Project 134
25145.726535353013,9767.248237099546,9961.063130224406,9982.220411351567,9967.745552270324,Project 135
18679.378436409257,6482.196323625659,4653.329187529148,4663.212850799893,4656.450893429726,Project 136
46316.67485324557,32623.362306328894,31930.896535229887,31998.71770509963,31952.317514513266,Project 137
21649.504486331298,9103.719844191153,6236.631792187455,6249.87838749449,6240.815663450548,Project 138
15148.454976081706,3953.4443301920364,3231.1197518698646,3237.9826447209707,3233.2873624532554,Project 139
41586.076727243904,26509.307550560723,29394.46674953342,29456.90054685731,29414.18615398525,Project 140
41454.47348637334,26528.16533148882,24064.054620533552,24115.16663157193,24080.198095081218,Project 141
46638.5451411301,33384.59987939636,38115.309520202034,38196.2663727212,38140.879339537074,Project 142
14387.383706779132,3850.001735102307,2274.5770829289645,2279.408280780016,2276.102992748569,Project 143
19628.003766623093,6674.47382131573,5799.493604586536,5811.811719127453,5803.384219816236,Project 144
49813.509503142865,36965.575391718034,37545.11337361818,37624.85913049292,37570.30067441574,Project 145
56678.81205840089,49009.465097858236,49948.298959917505,50054.38906185773,49981.80699111481,Project 146
79520.93316177654,97070.81423766726,99828.71359223833,100040.74960992254,99895.68411413977,Project 147
