project_name,application_id,median_score,adjusted_score,final_score
SwapBased,0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,24421.2,26635.5,26670.6
Catalog Radio,0x8c0d39ff0da67bf02e286f0d9e92da3470476333f185cc72c1db4923ace41901,24264.4,26464.5,26499.4
Hedgey,0x928dcd931ff2bc44a5d3b15c500adfbf8d3e3a89e4936823e0b3f053c38f978c,24186.5,26379.6,26414.3
Sturdy,0x4b987d79912367ada6c3fa1bf6ad1daa6d164078f8c5efc8db2128b9231087a9,22780.6,24846.2,24878.9
Guild.xyz,0x3d009f8f7c1e8a3bcbc81ca8ed60d2e86b956dd0fa68c4595f851be37052a2b5,22772.9,24837.9,24870.6
Router Protocol,0x4d71401a0dbd9b3dd890fbc70baaf872d16db80af149e20f7ef1805fc94f6df6,21519.9,23471.3,23502.2
MiniBridge,0x15b210abdc6acfd99e60255792b2b78714f4e8c92c4c5e91b898d48d046212a4,21385.1,23324.2,23354.9
Splits,0xb6266f3d955040aa7583f2f346db87abe0649f545389af3cc8fe302aacfc850b,21380.3,23319.0,23349.7
Hypersub,0x6435c8574014275b1d554a3ab9dd85f775fa3563258ce855d6aeb07e7918f6e5,20962.2,22862.9,22893.1
Speedtracer,0xf1d424db61a36ef7e1bef62f6c62f00b2e5ff74ce12c9ca3d11d3dc39e7f14ea,18976.6,20697.3,20724.5
Omni X,0x6a39702efd7d2658c0b26f05397ea9802317e40404e9c5f3f37ceb9b3dfc71b9,18844.0,20552.7,20579.8
BMX by Morphex,0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f,18194.9,19844.7,19870.8
🏰 BuidlGuidl,0x79196c0af1a1f78fe5a009a4753c46d2271b17fc2836e1f6635822f8f4cb3b61,17060.1,18607.0,18631.5
sudoswap,0x73899e48df9f895ffbffc36d53ce970c1454c8eeb0700ed20f303bf936b6a0f5,16855.9,18384.3,18408.5
DackieSwap,0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,16711.7,18227.0,18251.0
Loot2,0x7fd77f963d3383d7aa4dd67652c6554ce6f0661aad01afdbeaef33c3e5957a69,16632.3,18140.4,18164.3
Guac (Farcaster),0x07bbe4af3099fbf9f18fb4ac7078ee836c5d0d3cc2c29f192dd366455671e2a5,16575.0,18077.9,18101.7
Slice,0x79159d9bd4981ce68651fb4d585fd5827215309e503f46209adb0ec438f71b30,16369.6,17854.0,17877.5
Let's Get HAI,0x447b6819a0fa334f2429f86c022cf75ef3cad7e6e96078cb361ab961514b5125,16070.4,17527.5,17550.6
PoolTogether,0x45064f78302aeee0d4ea3667a39d3cffa25157b131aba8b1c0d9cfb7c085f87d,16015.3,17467.5,17490.5
Lido Finance,0x7747e26c3538f93bc67d9e13f343464996624e96fe549e3be484e848a1f61732,15450.6,16851.5,16873.7
Equalizer,0x3065db37b2feaa39fe11e313726e38fc14f461c174629174e2f434f2cfc938f9,14409.4,15715.9,15736.6
EthXY,0x030d3b4efdbeb15c8c70bbb4c4fe194c1893ef126148146235412a5d1eed3b97,13940.2,15204.2,15224.3
Omnisea,0x4373578c03f67b70d7f3e49681e901e66dc705efa292343c2370569cbb3245c5,13202.8,14400.0,14418.9
Coordinape,0x8809b8e6597cfc24a10313db53a1e7b102790160cb803bc47e07848b14fd0b5e,13052.0,14235.4,14254.2
Polynomial Trade,0x3e2458fd10201c3e66960a93e2a94e95861450bd29d040f6a077581fce165e29,12816.0,13978.1,13996.5
TITLES,0x8b480f19bf914a4f811346b85a9410af55aa52622b745cbc46d4507c28838821,12698.2,13849.6,13867.8
Pika Protocol,0xc30088981419c79a913acb4d63a47fa6813a00d7419cdcfefde4a0f89b24b864,12510.4,13644.7,13662.7
BSX,0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36,12381.3,13504.0,13521.8
Linkdrop,0xd765664dd27255f1ba341fbb3375439a57fb6a92313df2f7af7856233f415ed7,11802.7,12872.9,12889.8
ModeChat.xyz | Onchain Social on Mode,0x83dcff4c909bbcc0a141c180a7a282180e14dbc11f3de8d288932a6b017cb86a,11711.5,12773.5,12790.3
doginme memecoin,0xeecfa614f020c2ea4c2eb431246befedf35ddc6c52cfaa83d0c4caf2f580f9f4,11683.1,12742.4,12759.2
Keng Lernitas,0x62043b7744f559522f071821d2a062e2135c21a7759c685cf72ad03f9774b123,10797.1,11776.1,11791.6
Biconomy,0x220685a4514003f22cbf18a7ddd9c09f88c2383daed6cbfa3437b22a51c07c26,10249.4,11178.8,11193.5
tanX - The World's Leading Institutional DEX,0xa8213245a57be579692ead3a2381364f5942a68afd17b41a3ec1079e50af1a26,10085.4,10999.9,11014.4
NiftyKit,0x3890b8264147dbeaaefc6ba0eb6df0fca5fb7ebe508fa1ed87065c58387ead92,10051.1,10962.5,10976.9
Zerius,0x6dde8a1ab47a68ec31d112a28ed9777d5d753b3aee17ea2452bc7d787f944974,9887.0,10783.6,10797.8
dHEDGE,0x0c327d5f07a0abc24d646de807a9768619a34ba5277b24fc935b1edf57fa6244,9574.3,10442.4,10456.2
Get Mint,0xdc8c675a16e135a3518852b240cde44e9105622473623bf86725a9abb8d18847,9355.0,10203.2,10216.7
Morkie,0x2a2d2dbfa03619094fbeb6474776f2f3b5f6be443c8576abc6f3caa2c18dc45e,8822.7,9622.7,9635.4
Metronome,0x6c4b5386ddf396c088d3a96a65fb8a928a2a9edeb6eeb46ec6179acb5eaa23fe,8781.3,9577.5,9590.2
DefiLlama,0xae07bfec2c3c90937679f8c8c5c32e80407c09903aa03d1b5e5a075e67592b86,8475.3,9243.8,9256.0
Opti.Domains,0x66cce776ce6eaa99192120fc25b91ecc7b98e03210a08f0d3bfda82f542d3e1a,8305.1,9058.2,9070.1
Exactly Protocol,0x89216c66f45f82595fddb810c78df46fcee9be72181e9c92b26b0ce31bd6f413,7966.9,8689.3,8700.7
Virtuals Protocol,0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9,7789.1,8495.3,8506.5
Revert,0x8016ec0d5302d0347a567897083883e11e112d7ed17319f88682213470a3ac49,7735.6,8437.1,8448.2
