majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
68779.03811330932,61496.021893833575,68422.37381026467,72078.56437785462,72078.56437785462,Project 162
30859.72916459676,38023.586093215265,28849.100323902752,28621.526924865804,28621.526924865804,Project 163
55056.7050632787,54125.43674274782,54347.07483177958,53111.8737958865,53111.8737958865,Project 164
28654.61612302295,36670.27786255667,28701.074503386248,22448.152303520725,22448.152303520725,Project 165
30563.49568040502,38695.24224034712,29728.163501493687,27004.990722690854,27004.990722690854,Project 166
29630.577310903904,37212.12505783103,29728.566022821877,26398.50397921511,26398.50397921511,Project 167
33933.578082865075,39793.81255268049,32124.24767592268,30825.949935441367,30825.949935441367,Project 168
26957.601668227897,36921.55722293113,28222.346931857217,23967.18014940813,23967.18014940813,Project 169
33366.66666605821,41406.47464443223,33522.66846437638,29566.650083484747,29566.650083484747,Project 170
25596.26296147874,35216.217382862385,26163.65541735707,22065.833941151235,22065.833941151235,Project 171
23847.108480080817,34065.2345638667,26993.056326082027,18479.630292198217,18479.630292198217,Project 172
31466.26206216587,39614.68766183221,30361.168365260044,31243.418317511558,31243.418317511558,Project 173
35677.19981477681,42086.25954589059,35561.82925300853,29781.86470361096,29781.86470361096,Project 174
25194.57926014698,35202.51146590665,27453.65243404821,21576.1321764586,21576.1321764586,Project 175
149201.32863491756,91685.40993755723,149532.13438041753,165319.92745074892,165319.92745074892,Project 176
39149.06943082003,44127.11869971356,38167.76460800866,37515.34363902067,37515.34363902067,Project 177
20592.218337012397,32221.024397289973,23093.48689187564,18500.248174766304,18500.248174766304,Project 178
34017.84213244038,39783.39963525766,32273.006771966353,31249.087028038517,31249.087028038517,Project 179
61413.64277163026,57627.93747912254,60134.08173143258,65067.025632353114,65067.025632353114,Project 180
125763.3089817342,83936.18461226144,125280.8769898946,137692.4678585599,137692.4678585599,Project 181
32987.07097601815,42248.124318143826,34294.275458037424,32736.821907326717,32736.821907326717,Project 182
59146.97011532808,56692.09439974603,58445.86919059394,59150.56122286757,59150.56122286757,Project 183
32946.34284578742,40866.43987172797,34197.192834248155,28272.086938402055,28272.086938402055,Project 184
35840.17901746371,42326.20051416827,34222.94965618654,34280.32499590584,34280.32499590584,Project 185
45127.45326040633,50040.1337670805,46698.61726435805,46893.56949185244,46893.56949185244,Project 186
45125.05398086755,50530.68892989823,47720.58443885973,45132.25868245732,45132.25868245732,Project 187
50877.2160737886,52686.24905727828,51493.91459632328,51590.55007650193,51590.55007650193,Project 188
34964.71361001465,41385.15071272956,34208.58966170987,31290.559758644667,31290.559758644667,Project 189
33892.866735850585,40408.9347823846,33184.2081675538,29068.52467620649,29068.52467620649,Project 190
82029.11251952995,68027.52780399803,83722.64439755093,86860.67344604078,86860.67344604078,Project 191
20545.71585678808,32720.909948841483,23755.05193442137,19324.588565169124,19324.588565169124,Project 192
65657.47678997769,59976.20197873302,65484.02710824865,67144.17100848985,67144.17100848985,Project 193
31968.690961540946,39070.17982893413,30902.832094770507,30025.066064357397,30025.066064357397,Project 194
47903.94495507311,52062.971536893725,51972.70249010797,47691.09684188205,47691.09684188205,Project 195
39061.759703713746,46987.41013363541,41851.04837112292,40523.978257462935,40523.978257462935,Project 196
83018.01021163628,67701.03844909724,82344.07101518784,87713.01081669735,87713.01081669735,Project 197
28371.548213454007,38903.776790072436,29903.443929153174,26453.512095891536,26453.512095891536,Project 198
38648.76885088312,44578.06790201301,38817.65075533436,35325.13304378294,35325.13304378294,Project 199
37558.6904937212,43213.154415930534,35737.332140915176,37373.27065027963,37373.27065027963,Project 200
59276.71567298428,56924.89604367113,58877.317031975836,61527.88953819067,61527.88953819067,Project 201
26761.546235915233,36275.533973369085,27235.063234282163,23991.002680790294,23991.002680790294,Project 202
30826.489512277327,40540.617162426875,31557.660255986913,29477.33332392133,29477.33332392133,Project 203
64228.0847157598,59996.18862178983,65085.30092448733,68339.7387410402,68339.7387410402,Project 204
70968.84265556537,62095.00961455618,69486.090816876,75900.99757692746,75900.99757692746,Project 205
68489.41838739462,61356.95570240926,68227.6148852794,73245.69157529649,73245.69157529649,Project 206
36299.37232959653,42904.02467103358,35414.832789733504,31461.835084007063,31461.835084007063,Project 207
46087.43454879321,47742.86025359686,42545.106562449546,44604.83102712271,44604.83102712271,Project 208
59120.34484671675,55843.427894525135,56916.82335523935,60297.1916249372,60297.1916249372,Project 209
35787.47920917653,43027.12951671183,35883.277450736176,34267.83495851478,34267.83495851478,Project 210
