round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
74,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
75,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
76,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
77,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
78,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
79,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
80,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
81,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
82,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
83,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
84,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
85,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
86,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
87,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
88,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
89,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
90,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
91,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
92,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
93,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
94,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
95,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
96,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
97,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
98,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
99,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
100,3043981.1154692085,5420223.068977332,3062570.107252765,3043302.6117376653,3631537.1696389695
