project_name,phantoms_allocation,median_score,adjusted_score,final_score,median_allocation
Vesper Finance,6126.7671993294725,3920.1,4282.9,4282.9,4282.976225489087
Kiwi News,5251.290890153312,3889.1,4249.1,4249.1,4249.130121499104
Infusion,4714.513121211565,3754.6,4102.1,4102.1,4102.118555364593
OptiChads NFT Community,5147.147997755552,3699.2,4041.6,4041.6,4041.6092030668583
The Open X Project,4679.256496313141,3688.8,4030.2,4030.2,4030.220862369236
Clipper DEX,4809.825612790078,3606.3,3940.1,3940.1,3940.1039878845863
Receipts,4746.188213705847,3539.3,3866.9,3866.9,3866.9137331772768
Pixotchi,4743.740391433254,3535.4,3862.7,3862.7,3862.691463819923
Whimsical Euphoria: A White Inflatable Sheep,3920.240566845808,3500.6,3824.6,3824.6,3824.653997084678
RMRK,5003.954322696942,3468.8,3789.8,3789.8,3789.833088640868
Crowdmuse,4636.377964108439,3337.2,3646.1,3646.1,3646.0666389194143
Portals,3667.2349616237407,3186.4,3481.3,3481.3,3481.2843094983396
Scry Protocol,4369.024294608418,3082.6,3368.0,3368.0,3367.9580456318295
Umbra,3920.92656356221,3072.2,3356.6,3356.6,3356.5794930918637
Hats Protocol,7337.045436077998,3011.0,3289.7,3289.7,3289.7367382993557
Idle,4174.688218248954,2927.7,3198.7,3198.7,3198.6804624694178
Your Brians,4319.621273036743,2898.0,3166.3,3166.3,3166.263155464689
HOMES,4473.386544751163,2795.8,3054.5,3054.5,3054.52741021031
Basic Dog Meme,4309.782448795877,2775.6,3032.5,3032.5,3032.5202088197734
Bodhi,3939.237008536527,2762.9,3018.6,3018.6,3018.589374802228
zkBob smart contract privacy wallet,3489.2661402304993,2673.9,2921.4,2921.4,2921.39648193306
Giveth,6919.017501808969,2647.6,2892.7,2892.7,2892.6872027804334
PAWS Wildlife Room Onchain Vote in a Frame,4365.552552470447,2604.1,2845.1,2845.1,2845.128740935771
Wombat Exchange,3726.6386548214364,2598.1,2838.6,2838.6,2838.5999655858946
Base on Rarible,3148.7538577676264,2547.3,2783.1,2783.1,2783.1268707537793
Gangster Arena,3070.3885165687507,2526.4,2760.3,2760.3,2760.271963246535
Union,3735.1209391947204,2492.2,2722.9,2722.9,2722.89927189702
Daimo,3001.0515922388854,2347.9,2565.2,2565.2,2565.2122594636858
Ethos Reserve,3148.662325365053,2230.7,2437.2,2437.2,2437.163551149903
Drakula.app,3565.4329230307685,2201.8,2405.6,2405.6,2405.63485521763
Mintify,3015.6896616982954,2183.5,2385.6,2385.6,2385.588637038674
Mochimons,2989.2814457347254,2085.8,2278.8,2278.8,2278.833093921955
Liquidify,3272.548061819666,1995.1,2179.8,2179.8,2179.8157433540573
Summer.fi,2622.3845950250366,1874.0,2047.4,2047.4,2047.4441475030796
Astaria,3806.307025194983,1854.2,2025.8,2025.8,2025.8547877429514
UNCX Network,2685.0755897745753,1840.3,2010.6,2010.6,2010.6425504377921
ORA Onchain AI Oracle on Optimism,2588.4992019748784,1803.8,1970.8,1970.8,1970.7629057446875
Alchemix,2669.706396981451,1675.2,1830.2,1830.2,1830.2424830648222
Trash NFTs,3288.7680293259427,1569.8,1715.1,1715.1,1715.1096513095858
Based Onchain Dinos,3487.029049205398,1543.6,1686.4,1686.4,1686.4453195085528
Tokepad,2116.95412807037,1371.6,1498.6,1498.6,1498.5695340197096
builder.fi,2068.399196931557,1356.7,1482.3,1482.3,1482.2865390605286
Crypto Composite,3389.9867543926484,1281.7,1400.3,1400.3,1400.273146109183
ZKP2P,2229.9249287528087,1206.8,1318.5,1318.5,1318.5085531491704
Aragon,1670.8380387175737,1185.5,1295.3,1295.3,1295.281541110417
Unitap,2411.1718904776985,1164.4,1272.2,1272.2,1272.1456141098004
/send,1254.8008199782682,1074.4,1173.8,1173.8,1173.8236400703747
PiraNFT,2285.4477562224833,1070.7,1169.8,1169.8,1169.8428342086104
IntentX,1426.5679652599536,1055.6,1153.3,1153.3,1153.3494816338562
Egg Wars: A Game on Base,1188.0577299932625,998.2,1090.5,1090.5,1090.5471086562802
BaseDoge,2195.9769133865307,964.5,1053.8,1053.8,1053.7948792279387
Cygnus Finance,1453.478891720776,931.1,1017.2,1017.2,1017.2373097929195
Pyth Network,1205.3375965474663,897.1,980.2,980.2,980.1574373878431
Preon Finance,1314.2961333766696,814.7,890.2,890.2,890.1518265602949
Base Runners,2022.0405374270788,737.1,805.3,805.3,805.293157256847
Oku Trade,2066.5146056244057,721.7,788.4,788.4,788.4490943024423
Glo Dollar,1098.3901569772088,698.7,763.4,763.4,763.419343256114
Building Blocks,1876.8515735903811,680.0,742.9,742.9,742.944921098908
Based Onchain Punks,1968.159071489492,628.6,686.8,686.8,686.7950111251447
LlamaPay,786.5943137448098,623.3,680.9,680.9,680.9502021083289
Synonym Finance,1990.1481686186673,589.3,643.8,643.8,643.8490928101012
Sequence,922.1041220028853,571.7,624.6,624.6,624.6369497593581
INT,617.3869991256983,511.6,559.0,559.0,558.9895506933237
Fractal Visions,549.7703646229688,461.8,504.5,504.5,504.52350507631604
Sablier,489.91216302202713,407.7,445.4,445.4,445.4028315064574
Tiny Based Frogs,476.80501208216344,389.1,425.1,425.1,425.0844756999288
Archly,565.7921436717207,367.1,401.1,401.1,401.05216633275234
DappRadar,484.25265405851405,311.7,340.6,340.6,340.568900645634
DappLearning ZK redpacket,410.80437137500866,304.4,332.6,332.6,332.5946258677662
Based Onchain Cubes,268.1362416289109,204.6,223.5,223.5,223.51512194538836
Beam,291.7076160494823,187.2,204.6,204.6,204.55728503964187
Based Bodega,127.32474406732139,102.3,111.8,111.8,111.79862116171799
Ambire,121.64960373665774,88.4,96.5,96.5,96.54261879857854
Talent Protocol,90.55179827729505,68.1,74.4,74.4,74.35914762517656
Poster,1.4021253145580463,1.0,1.1,1.1,1.1308484501299452
CreateMyToken,0.270283884119696,0.2,0.2,0.2,0.21259461373670024
