round,normalized_median_gini_index,r1_quadratic_gini_index,r2_mean_gini_index,r3_median_gini_index,r4_capped_median_gini_index
81,0.3194573824312079,0.13478433426592054,0.27648901474460164,0.3194573824312081,0.29314635629771757
82,0.28140593521877716,0.1240812316315374,0.24349076744247936,0.2814059352187775,0.27849323203693516
83,0.2504386262293775,0.10952891991477211,0.21405003060308853,0.2504386262293775,0.2504386262293775
84,0.31228281577919764,0.13724245772038282,0.2675347887339592,0.3122828157791977,0.30155711246219097
85,0.3025561811429266,0.13019468960307068,0.2598967763549372,0.30255618114292676,0.3004927988812152
86,0.2948120137024472,0.12568651129138014,0.24069667218678786,0.2948120137024472,0.28532614624945885
87,0.27226759052632904,0.11868958346987075,0.2300940710979489,0.2722675905263285,0.27226759052632904
88,0.29304558381668977,0.12726087934933805,0.24643043089165748,0.2930455838166901,0.29304558381668977
89,0.28631390761137016,0.12731291797453245,0.24876030860591172,0.28631390761137027,0.2731130661788027
90,0.24373549290115,0.10985155000896847,0.2086430344039477,0.24373549290115,0.24373549290115
91,0.2865042141578315,0.12630890614093176,0.23934055866062814,0.2865042141578315,0.2865042141578315
92,0.26578569765673193,0.12317309620377813,0.2321215104745915,0.26578569765673216,0.26578569765673193
93,0.3207523049875687,0.1357064704278945,0.270285906088802,0.3207523049875687,0.31604850461976647
94,0.26534619821600475,0.11622020169409576,0.22760085705615324,0.26534619821600475,0.25478892935048364
95,0.29684827160935023,0.13062929266314294,0.24823327997582795,0.29684827160935034,0.2964873617022081
96,0.29930487018902135,0.13212791476281863,0.24970282937844596,0.2993048701890216,0.29930487018902135
97,0.23271925767720653,0.1018700532243331,0.19593916677487253,0.2327192576772064,0.23271925767720653
98,0.27685862941656986,0.12838516223013516,0.2420618979773781,0.2768586294165695,0.27685862941656986
99,0.2762002741688534,0.12592460466220823,0.23126032419021972,0.2762002741688534,0.2762002741688534
100,0.30162376830772075,0.134156034937453,0.2579221526413928,0.30162376830772075,0.29865103679460875
