round,normalized_median_social_welfare_avg_l1_distance,r1_quadratic_social_welfare_avg_l1_distance,r2_mean_social_welfare_avg_l1_distance,r3_median_social_welfare_avg_l1_distance,r4_capped_median_social_welfare_avg_l1_distance
80,2996943.5540528176,3278287.7258709436,2971888.524228663,2996943.554052819,2996943.5540528176
81,2932255.53790661,3335314.4397106776,2899968.6809495874,2932255.53790661,2916339.5512518436
82,2897712.9965161756,3285021.8058527773,2868170.919247681,2897712.9965161756,2891249.629151818
83,2906513.191791521,3125925.7815930564,2877970.932529069,2906513.1917915186,2906513.191791521
84,2956926.8340267036,3244361.9554481097,2933266.9523558756,2956926.8340267036,2956926.8340267036
85,3061997.2216240414,3659017.2974623204,2992577.1129888147,3061997.221624041,3135725.0109329703
86,3002867.9872207833,3411302.381519059,2953050.7210126165,3002867.9872207833,3002867.9872207833
87,2946514.5801836858,3377534.8147431226,2902896.8546244046,2946514.5801836858,2942337.5531799793
88,2964120.2838189756,3389176.918020955,2937482.6376019344,2964120.283818976,2964120.2838189756
89,2879954.2130150115,3198803.57056838,2869854.778300238,2879954.213015012,2879954.2130150115
90,2909746.577333891,3187294.4478486986,2876603.454919524,2909746.577333891,2909746.577333891
91,2984588.731806481,3439227.905356211,2946160.293099374,2984588.7318064803,2968716.5654510004
92,2933404.1822658647,3149484.4684678437,2898494.7948084613,2933404.182265864,2933404.1822658647
93,2975728.5716897612,3638209.276439228,2910108.0284615355,2975728.5716897612,3135509.791981306
94,2918527.324296632,3249856.296314836,2887648.8942461843,2918527.3242966314,2918527.324296632
95,2891569.033739826,3247194.5097818575,2861445.2202540594,2891569.0337398257,2891569.033739826
96,2896916.693826622,3468859.412099026,2848805.3253181716,2896916.693826622,2890628.08035399
97,2871233.5571123855,3303663.6382515836,2824695.6425525574,2871233.5571123855,2868241.406072421
98,2980685.454143409,3527089.345787923,2929574.5485136523,2980685.454143409,2955893.861063798
99,2916946.175084277,3341759.686339124,2878951.4700548416,2916946.1750842775,2938774.5459305653
100,2907869.9822213957,3298564.979048599,2869362.87365009,2907869.982221396,2880256.5783127164
