Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 481,46303.224399338425,43504.884240319625,47602.15211363296
Project 482,52679.93405853311,52362.824092930685,51308.06242522284
Project 483,58888.08221807253,55130.39928737046,53888.01409056686
Project 484,50916.80082553977,53040.154030415266,51170.797979478666
Project 485,49987.07955096349,58998.50021399557,51308.20749004327
Project 486,41036.29127682608,42076.7581462644,45723.44552021269
Project 487,51216.32749493418,53242.774964753764,50431.98521195892
Project 488,51592.06327585005,48748.33332704629,50212.38921908763
Project 489,58048.031979483974,57886.35939144776,53386.97240692582
Project 490,49691.207989677685,47813.432579290195,49195.11809088823
Project 491,50402.93858131958,43566.08316450005,50029.28746289529
Project 492,56991.16806497904,54965.87496931235,52947.85127874963
Project 493,46531.37205147961,49986.3760895057,49360.10410133532
Project 494,59656.81589508856,58496.5751212072,54582.2919588877
Project 495,47517.91711419822,52056.902486284394,49427.574536541826
Project 496,47208.37125082391,46515.537463622066,48324.32450743814
Project 497,47029.69960321161,45328.83297122578,47761.964358198216
Project 498,52440.94752090906,45429.331000846025,50566.79721179249
Project 499,52026.647568018736,45948.83654277376,50002.294880518675
Project 500,44898.12308207895,46085.936905453105,47207.765036613666
Project 501,50191.486089269274,52739.84123940613,50261.24453518604
Project 502,54390.259841759755,50255.736328510546,51927.24929810203
Project 503,52035.30115459307,50498.179446547736,50424.890195807064
Project 504,45589.083943114005,44704.31430617888,47464.31438073538
Project 505,44316.58799579263,37620.817164192114,46629.17110558493
Project 506,51337.74112739739,55191.924266125716,52027.1764057089
Project 507,56688.20353464913,55209.048315511805,53194.30786150497
Project 508,59842.3995657019,58025.85777811233,54736.72683166887
Project 509,53970.81172962759,57118.22366194439,53158.97639396186
Project 510,46199.768468525726,38180.36800021574,46828.66305611208
Project 511,46417.89621769376,42335.15291586484,47936.33966431751
Project 512,51541.70256162156,50637.7359105831,50833.40200138772
Project 513,47936.94191694684,40514.8841714322,48615.82347128727
Project 514,56485.04911752858,63144.95051732788,53164.9640958032
Project 515,53542.830514006586,50112.33334578957,51500.31298696341
Project 516,49026.78998965175,47509.54069027519,49383.072918248334
Project 517,48941.45046474753,54101.91750094672,49850.64721278366
Project 518,52587.645950731836,59362.14191818247,52472.674630851994
Project 519,47147.37889457922,43363.692209552726,48093.12516764986
Project 520,55152.11860411988,49491.059936983926,52638.70187426475
Project 521,48496.12895249817,40635.497199914826,49044.07100638776
Project 522,54947.46514112567,53509.82704872823,52020.47138982342
Project 523,60707.58059351348,67986.68819974508,56282.683447953175
Project 524,54702.31659381911,52113.12257324213,51513.29978442131
Project 525,50947.08240285775,50608.000063699496,51266.36946977394
Project 526,53778.9242915043,54206.98215439263,52345.26052982202
Project 527,43826.008675412486,45321.41523860492,46562.777932254634
Project 528,48981.93603396141,48888.45861280242,49924.59034375762
Project 529,50571.32977667624,48704.10924184676,49000.103495331605
