Project,Mean Aggregation,Median Aggregation,Quadratic Aggregation
Project 84,53985.3130076633,56703.2563224659,57902.940998013844
Project 85,49615.51820751202,47368.22152890175,48908.5107368806
Project 86,47297.440103800815,44550.12326650682,44445.177726339425
Project 87,48860.55445480761,50742.74169226559,47431.42332735
Project 88,51246.477819135805,54596.974538500166,52176.79738956166
Project 89,44893.256040102366,40050.55088884451,40041.61503189244
Project 90,45797.93031610937,44805.53956599279,41671.68670323752
Project 91,52800.69072338845,57855.9053547099,55389.64518601991
Project 92,52133.28921492567,60335.924986128215,53998.24292609217
Project 93,47819.99397789244,48188.212606872155,45432.68561427423
Project 94,52282.14478854285,50393.54926722086,54307.04426449683
Project 95,50872.567075604056,54308.28720642881,51418.17778189507
Project 96,47200.71058725053,54721.81709756433,44263.57109523012
Project 97,62318.082358563865,62097.07982786532,77157.39154536021
Project 98,54359.600991973755,50506.093888540265,58708.623236973835
Project 99,48297.629722197475,55214.504841025104,46344.79982235687
Project 100,51131.05864337924,55148.67245111238,51942.0331094636
Project 101,46977.39685822473,48627.88535163917,43845.72652986245
Project 102,52041.04459470542,58011.96087250761,53807.32304535513
Project 103,51161.48491030012,57768.00504707471,52003.86919994124
Project 104,55697.75980604993,63184.019281176836,61634.635409548326
Project 105,44136.470727082036,36388.87697899657,38702.99564340715
Project 106,50118.80751294798,47722.94231533325,49905.7783912935
Project 107,46000.191277787904,48497.26446305856,42040.575306346866
Project 108,54291.014817227566,50746.879901021886,58560.56991745745
Project 109,53637.20930221927,47486.06649460804,57158.61842870834
Project 110,53310.812211747085,58175.11722513953,56465.083387517996
Project 111,53184.37412745009,47738.5616188639,56197.56276875598
Project 112,49797.053039383434,51667.32268729269,49267.06149855963
Project 113,55433.499120965454,45712.37475367268,61051.16589981476
Project 114,52692.87217223824,50890.99938496683,55163.66579851681
Project 115,44025.9546261236,43727.07334533859,38509.41654669627
Project 116,47357.51889818826,53219.546883675386,44558.16094848089
Project 117,47590.788311222954,48069.66974002419,44998.20322040051
Project 118,50018.34150862976,44518.532014547374,49705.90097449713
Project 119,50901.78663732608,51838.11639182472,51477.260630492936
Project 120,42622.96819850336,41561.538149908265,36094.14473243768
Project 121,48666.04824233185,49295.412744466565,47054.54084779741
Project 122,60436.37445429291,62180.03280653435,72568.17180007008
Project 123,54371.36070943188,53127.593275174426,58734.02708418617
Project 124,54139.55860218529,56075.73497651819,58234.29158858005
Project 125,44813.10148725107,42044.68154158925,39898.75827261876
Project 126,45369.935056702736,41159.78905473013,40896.457507355066
Project 127,49349.23644698239,46990.69775993554,48384.94484377047
Project 128,51415.52438925086,47860.755616562674,52521.59596984641
Project 129,46339.12644638006,44710.156896440545,42662.37810318304
Project 130,53743.73519821108,53697.40128553888,57385.883027598575
Project 131,51865.350349883614,54259.98566816811,53444.62168190218
Project 132,43262.52145932575,49220.57411916332,37185.44908912476
Project 133,53047.61503939021,54324.4965888131,55908.91986482867
Project 134,47528.64673941451,46829.45518351027,44880.76732277715
Project 135,47618.93374299496,45144.91057262902,45051.44328676543
Project 136,41972.957932522186,40844.64114640835,35001.65078284843
Project 137,48022.08260588478,44398.72896275578,45817.49660332422
Project 138,47107.295743736824,44247.88288710445,44088.540556311345
Project 139,51356.08298626633,52403.55870718956,52400.22590725836
Project 140,43321.77751583081,41914.902678311206,37287.38360537261
Project 141,50951.33447406795,52813.27898246649,51577.52541276512
Project 142,42125.6657857977,45088.17729056714,35256.80317007342
Project 143,52425.204372701555,58571.27254513042,54604.651508822666
Project 144,48685.54513868913,47066.27360674296,47092.25096850608
Project 145,50689.709558086484,45633.997001130956,51049.20475214216
Project 146,51374.20644948421,51871.80173904373,52437.21631153367
Project 147,60988.623586810994,67853.49138704882,73900.44264151686
Project 148,55804.377817271685,46503.97973651593,61870.826301377754
Project 149,52167.29907357042,44886.27790482647,54068.71887957826
Project 150,45214.94561419981,48565.965440209526,40617.51981218182
Project 151,52405.27659129975,55384.91597742567,54563.14694020885
Project 152,58564.2634178636,50097.90302909202,68141.97960289955
Project 153,50287.3086874571,54325.68842054235,50241.91241655859
Project 154,47340.9164080978,41961.24884746828,44526.92422965584
Project 155,50927.42691215812,48445.273043904745,51529.133997834484
Project 156,43745.59452175936,46096.8253779026,38020.51731813274
Project 157,44385.46962838934,37590.79383744297,39140.918619047494
Project 158,44936.26852960639,41161.41437073168,40118.37999688208
Project 159,52667.15166334015,49686.61224135207,55109.82583055956
Project 160,50075.900669332725,47567.88677304686,49820.36603018221
Project 161,46863.923120284795,39605.954347582876,43634.16395475105
Project 162,52550.050693106365,55964.59926681839,54865.0341697386
Project 163,53651.93341074566,46344.40086499651,57190.0042978948
Project 164,55184.19238975961,55516.20203395789,60503.257484544796
Project 165,48968.52495229571,48712.39894471269,47641.27983661647
Project 166,42203.207625789335,41379.38551576923,35386.71891144449
Project 167,50718.95307158162,48940.77930813271,51108.12356407286
Project 168,47176.54883087997,50633.592059875176,44218.26618875722
Project 169,46218.40016461966,50343.16408502117,42440.373008489005
Project 170,54023.14869234188,52314.21148282646,57984.132159358815
Project 171,50645.17857330893,42907.00023099064,50959.55054644995
Project 172,57653.6991186147,60661.11137239904,66039.49293016901
Project 173,49550.24390437514,52806.705011651,48779.90706363901
Project 174,54961.1933803909,58959.65781054529,60015.25883800105
Project 175,54145.81567224597,56151.08331123591,58247.75298752101
Project 176,47309.8264343497,54604.9888233965,44468.459525353916
Project 177,48649.38110422606,45451.51626815112,47022.31590816256
Project 178,45685.76567596369,45766.17109685574,41467.81871151354
Project 179,52135.4268646114,58694.433094425534,54002.6712556783
Project 180,50254.15635550991,53873.7436992115,50175.6894446363
Project 181,56993.48791936665,63051.284749783525,64535.67358996534
Project 182,45349.1712523866,46713.05566160446,40859.033088428616
Project 183,57596.743221725854,61248.4899416824,65909.07699153897
Project 184,58476.96992010685,57135.36873123551,67938.99169827302
Project 185,48492.58108230446,55181.70753376223,46719.69260587902
Project 186,48949.816073382266,45317.84213579939,47604.883205554135
Project 187,44395.209042492956,43851.993619566245,39158.09772933054
Project 188,51049.82298251642,52261.482390510355,51777.1159906891
Project 189,51646.973705772965,57858.55902812997,52995.51695866694
Project 190,47936.871868913244,48784.602324974796,45655.04305402529
Project 191,50496.22765081649,47653.14685753091,50660.24031675673
Project 192,50861.46765129025,49636.6774161813,51395.74329721348
Project 193,47024.59021182505,45680.54081485654,43933.86535338334
Project 194,47374.213470199305,46270.03899608948,44589.581958741255
Project 195,52066.12455050576,51816.01011977455,53859.197886475224
Project 196,50836.2926026104,48772.793213020894,51344.87688777443
Project 197,59944.6305808226,58298.93954772162,71392.06625367183
Project 198,51534.063420415616,48679.438248346705,52764.05332362378
Project 199,51367.42072758316,50644.849115422716,52423.364968910464
Project 200,48295.62445946775,48499.28180445625,46340.951535346176
Project 201,50667.163394637595,55719.97691216415,51003.80272648405
Project 202,51618.60813822119,46941.253894829315,52937.32051456777
Project 203,56493.125365279186,53605.178698869386,63407.49251070242
Project 204,50385.02933743923,53667.496669352186,50437.367008120906
Project 205,50481.89419287443,47362.865178757864,50631.484372004685
Project 206,49876.56902991835,53310.27166749036,49424.52651731245
Project 207,52943.9688531049,41853.49499166723,55690.659898365404
Project 208,46057.15328957865,43830.67303502866,42144.75741373947
Project 209,45054.0808702483,42631.88321063547,40329.01769391865
Project 210,47169.187231196694,47590.37656535398,44204.46730838143
Project 211,53130.579640064905,56401.92499716599,56083.935778446474
Project 212,48170.31029832565,46943.902101472784,46100.77891097463
Project 213,49410.88148904558,48926.8378861603,48505.90132063736
Project 214,52595.31073480045,54650.7137566201,54959.58262621274
Project 215,44990.753169565076,43976.554432120756,40215.7250017054
Project 216,51031.94064888669,49653.170348670305,51740.84814717372
Project 217,49770.33954893793,48142.655604185595,49214.217320500225
Project 218,54500.34132081701,54363.239508372506,59013.017201216615
Project 219,57542.86456344723,54602.67344940238,65785.8258662157
Project 220,51448.51384120765,51145.14020983944,52589.01586084304
Project 221,47031.12139103561,44701.810677610665,43946.070026431444
Project 222,47659.39323301342,49573.84577491154,45128.03184644932
Project 223,50823.19917350306,56277.21571009855,51318.43145304122
Project 224,49362.265755315595,56143.92686513203,48410.49764390644
Project 225,52990.19077145893,53811.818368988635,55787.94209471868
Project 226,44891.77060704116,42689.42954602343,40038.96527288575
Project 227,44673.27720491419,51476.9848499436,39650.16526548496
Project 228,44436.44477542298,45648.15647651418,39230.87417499258
Project 229,50598.814132969055,53210.3130288678,50866.2887748429
Project 230,50756.490333515,47788.16356460841,51183.802135249854
Project 231,49989.027799024356,51063.955742439175,49647.65684484716
Project 232,48448.62751931334,36862.23779058473,46635.03774677974
Project 233,46774.87962782916,50388.390225857576,43468.50786219497
Project 234,49581.47142574917,49664.95694763953,48841.41051828408
Project 235,44226.60580848515,40547.99479663554,38861.234836244126
Project 236,46239.75348961472,47740.72851501013,42479.59775105224
Project 237,56906.869747622135,54495.00882631762,64339.66122165944
Project 238,54121.3266971744,55972.84784435551,58195.07651817435
Project 239,51517.23940382624,50451.42525838598,52729.607819118886
Project 240,51410.50732953509,53501.49942855094,52511.34649246422
Project 241,51966.278248782015,48468.13904257625,53652.82625946667
Project 242,45584.752015306316,48482.89209654768,41284.64632695053
Project 243,48064.59901999107,54290.18158686816,45898.661679198
Project 244,50540.19025382985,53938.21091500714,50748.48950412124
Project 245,51549.380486148606,53252.22537954684,52795.42327683561
Project 246,44582.13260950542,44835.196718354615,39488.53791816306
Project 247,47986.223476700936,51499.94793443704,45749.09631671643
Project 248,56135.61161346692,47473.30061040305,62607.49001653916
Project 249,48842.64789724764,44342.10765635116,47396.66408696337
Project 250,50828.681824657084,53905.65687261033,51329.504200848896
Project 251,41999.11723125796,47828.78938570746,35045.29335702281
Project 252,48951.920853226504,45512.75252178378,47608.977192452745
Project 253,43526.19890714001,33153.01173836594,37640.10793678744
Project 254,57283.85217377297,62751.718869958604,65194.927401932764
Project 255,48763.99041805309,52579.724476853844,47244.12935090612
Project 256,51169.548774677554,45292.39848504646,52020.26376696179
Project 257,44768.118277429116,39599.43628059788,39818.69805085624
Project 258,58202.44244550694,68466.10173981718,67302.59279348054
Project 259,41589.62403417768,40984.22460358047,34365.238648368584
Project 260,48716.933800251805,47846.42736691252,47152.993401438674
Project 261,46236.84942765332,41807.364422675346,42474.262103659225
Project 262,48005.36686479707,49750.319573876666,45785.60543681762
Project 263,44224.34519909357,41190.3500252691,38857.262212723144
Project 264,53317.213973585196,55026.883698739024,56478.645278801
Project 265,51757.700552510585,53520.88741636925,53222.9965705271
Project 266,38832.8883830505,38899.37386148217,29960.479821221394
Project 267,52498.892996933566,59672.571961588634,54758.263481187365
Project 268,48061.89747277501,54158.61392918897,45893.502209672704
Project 269,49363.978958477324,50948.59976164867,48413.858043012595
Project 270,48838.30426636629,49712.73863239514,47388.23438593857
Project 271,48608.676825200135,51401.98515119923,46943.66295468888
Project 272,45938.20822956821,46757.47227522376,41927.35632456141
Project 273,48420.84270706385,49675.21233332222,46581.5636119846
Project 274,51082.740817371654,56757.210271584045,51843.911131770554
Project 275,49815.982950050675,45853.797834904566,49304.52549612215
Project 276,52060.32976779362,48229.53078964057,53847.20986226444
Project 277,47522.8637166136,47394.414301140154,44869.84630025862
Project 278,48260.81669901675,54241.53352651697,46274.1776407642
Project 279,55686.89507651332,53655.29218849118,61610.592132624864
Project 280,44450.17086530628,39859.77822200507,39255.11417326887
Project 281,52661.13661403639,53525.52215523502,55097.238501281565
Project 282,49238.98012859009,48726.72903655667,48168.98257933138
Project 283,50841.77910070841,49533.70758114765,51355.96025976592
Project 284,48784.86775610845,51391.22776563685,47284.59128973962
