r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
111352.40437767711,53666.33420400925,52107.81642012831,52218.49333347684,Project 176
123331.27377224635,70354.2347537718,60021.52418965913,60149.00980483489,Project 177
507343.32012009947,1056398.0880470667,1093878.0889944255,1096201.4841928228,Project 178
70157.102031467,24286.63767237655,16480.466575546536,16142.596361323524,Project 179
122947.86492010942,65143.52821340794,62008.41446958273,62140.12023632983,Project 180
42060.20930582103,8752.08064984477,6138.214594843629,6151.252152191087,Project 181
166164.9230000192,115054.5786909999,113514.63047558334,113755.73535742375,Project 182
186582.0432616473,139061.11135294047,140596.94246463577,140895.57013102586,Project 183
327713.16845528304,424754.1877950979,457970.9092500075,458943.6386814337,Project 184
130399.15354806306,70169.37789596072,69434.13850544293,69581.61649739787,Project 185
159286.99647267954,100921.848514343,103181.64915959044,103400.8068067104,Project 186
288910.9828558839,336576.3541783103,359205.3360104647,359968.2875325056,Project 187
42533.614808462145,11412.589654905736,1930.2523603319007,0.0,Project 188
428019.52964896755,767111.2662297105,682298.4537863384,683747.6545403808,Project 189
91940.79971882365,35928.96610206774,36616.402643038506,36694.17581990288,Project 190
72590.10513263177,23548.653917334188,21133.69363421525,21178.581563508433,Project 191
22663.21531206768,4560.596531901271,228.77125134971195,0.0,Project 192
226428.6027051772,215375.90317471058,207300.77939941813,207741.08590187618,Project 193
185449.2344796194,140877.95326798173,143310.00420957035,143614.39441448695,Project 194
55053.28183715988,13922.11448954228,12082.556951805132,12108.220282196906,Project 195
27153.158023998763,4379.1870567699,1274.3984913903469,0.0,Project 196
37347.269578434265,7375.655492665431,4506.530878575483,4502.237134327354,Project 197
54647.34079654411,18976.066095242582,5141.879501947198,5152.800845253876,Project 198
40289.26165432906,8403.706210035642,6027.88381952444,6040.687034492988,Project 199
59145.8206410478,18549.224961501546,10062.987680706066,10084.361449404898,Project 200
58863.283095748564,18778.897920403473,8163.221483445355,8180.560151976076,Project 201
51968.78068319235,16469.926485028092,3813.8782856750668,3821.978956659669,Project 202
75017.9273506487,31411.89994835057,15969.457568355756,16003.376669038573,Project 203
67992.96405824022,20738.55084940547,18217.566094755413,18256.26017412028,Project 204
277575.35080648004,308755.55112756725,311309.1432897407,311970.36337999906,Project 205
69643.15852514002,24933.803678814667,12840.314696122461,12867.587502672877,Project 206
75359.96597148887,24866.677692382546,21971.812136497538,22018.48022806244,Project 207
266529.2443350386,283505.5873048642,301376.3760622137,302016.49897179403,Project 208
55975.21330942291,14248.87664424296,13422.138250216249,13450.646849004845,Project 209
52131.98451184978,12758.510298621693,11466.269794841608,11490.624132361389,Project 210
156539.9811743066,97915.57956902814,99853.87171426708,100065.96116775964,Project 211
51882.18909123536,12472.672022245895,9492.421434644664,9512.583321608401,Project 212
48718.491585490825,13657.183356585847,3952.873857016628,3961.269754358081,Project 213
215500.52871054353,187973.3474147663,211636.06912172487,212085.58377217109,Project 214
80806.89211057372,28972.406947041058,28171.355867268267,28231.191779160898,Project 215
188627.588883318,161520.44437445395,160417.8470973058,160313.57062431937,Project 216
986754.0097517942,3936581.5244408417,4370416.38426507,1500000.0,Project 217
37260.44146685321,7514.0123676870535,4847.360665917148,4453.317212427817,Project 218
83460.09366101699,30569.68280413265,27936.695372854632,27996.032866256704,Project 219
286111.99750010384,347182.2621817937,282426.0589424593,283025.93141074537,Project 220
87736.03889697173,31680.540292904694,33276.75167724574,33347.43144114543,Project 221
226439.61566592232,220288.33434073385,243509.06444997076,244026.2772882217,Project 222
209483.32112159792,178899.40563549567,193167.83782928248,193578.12598791075,Project 223
164038.69434273342,107944.87807980375,105075.11991631507,105298.29929209818,Project 224
174165.6286968655,126673.68196851562,134998.36690304632,135285.10320447673,Project 225
109879.44002922381,57882.98082599906,48219.05147322992,48321.468656452926,Project 226
80248.99775450752,29143.779607890137,27561.270882879337,27516.1734275596,Project 227
47407.27527984616,10791.27317776705,8758.313893250335,8776.916537046172,Project 228
106270.793355868,48434.091165751204,47963.302119816646,48065.17609184849,Project 229
80333.74124716324,33197.10595727495,19050.912184685025,19091.3762897259,Project 230
