majoritarian_moving_phantoms,r1_quadratic,r2_mean,r3_median,r4_capped_median,Project
41105.95437171168,45855.676624504296,40761.65519182747,37289.76184327916,37289.76184327916,Project 125
42756.23914396453,47208.20867570467,41928.5201807118,41813.70690754215,41813.70690754215,Project 126
40271.48640268552,46440.55841274779,40618.70398162555,40690.905893696865,40690.905893696865,Project 127
41337.52567582493,45573.38491647605,39417.14381086403,38303.20322088606,38303.20322088606,Project 128
38239.5037624818,46893.8660583374,42776.053681380465,37990.33914417162,37990.33914417162,Project 129
80042.69146957246,65839.46513377738,78322.44530294617,84968.9131804941,84968.9131804941,Project 130
42653.70351614371,48074.75057772923,43975.84951358724,42075.5230861261,42075.5230861261,Project 131
50765.46385484382,52762.09811099888,52130.98847587667,52623.98630509407,52623.98630509407,Project 132
41634.83349274003,46141.39844763801,41077.96924372026,37654.042635675025,37654.042635675025,Project 133
100522.78878951896,74098.49797784057,98472.4580729945,108735.41189776949,108735.41189776949,Project 134
28115.98407458852,38124.4396576432,29759.531481059723,25658.15148065267,25658.15148065267,Project 135
53401.50726459772,54706.70619197749,55660.78695010035,54338.45896689774,54338.45896689774,Project 136
34884.70809897667,41212.14399387344,33695.58572699135,33465.54156875956,33465.54156875956,Project 137
27712.70644350873,37407.67294848361,28852.180717846302,25308.983348932394,25308.983348932394,Project 138
56206.13277880033,54705.29967344429,56583.725457023706,55140.794471223046,55140.794471223046,Project 139
21656.60213070598,31440.925206641972,22167.271746441314,20513.111023662852,20513.111023662852,Project 140
48819.07176850709,53080.22398413993,52204.562614626935,51467.61744107768,51467.61744107768,Project 141
29151.261709904957,37287.18770111353,28863.125974210285,24361.132409367045,24361.132409367045,Project 142
62430.91158796927,58666.97735513246,63421.92471770934,63620.966377256,63620.966377256,Project 143
52582.071296046335,50961.28609716532,48410.0638735105,47453.689776777996,47453.689776777996,Project 144
45970.17913361283,51181.476718800324,48408.22919802842,49884.17503655421,49884.17503655421,Project 145
33596.966092826224,42996.661862184024,36496.23693234305,33010.247747184134,33010.247747184134,Project 146
41465.16282896641,44937.56709432145,39498.367109334205,34477.84468831416,34477.84468831416,Project 147
44781.02449945002,47210.04285990931,43396.56100554775,43644.065946160204,43644.065946160204,Project 148
40423.92909159347,46062.17586321174,40490.93757264036,38036.4339787483,38036.4339787483,Project 149
34512.33841864958,40816.18406565127,32738.459281438758,32323.91430774479,32323.91430774479,Project 150
24317.85212911697,34010.887477482815,24947.2612927776,23735.85907886998,23735.85907886998,Project 151
44907.635311202495,50297.657673100104,47396.28767661499,47520.304827420296,47520.304827420296,Project 152
44971.65385041561,47927.75968363164,42645.23623498924,44648.103589835715,44648.103589835715,Project 153
95546.95278140955,71934.3636561195,93552.42848337392,102095.95991144924,102095.95991144924,Project 154
42823.599042424365,47332.43928769253,42388.77326522685,42186.863415768676,42186.863415768676,Project 155
26958.254944199034,34434.5741453516,25878.959189386154,20774.822295683836,20774.822295683836,Project 156
60021.812664221216,56397.01887070766,58850.48886302839,60645.95017103253,60645.95017103253,Project 157
57371.90285305459,56812.14409196188,59313.66092377365,60456.17979779254,60456.17979779254,Project 158
31499.478367538126,39178.53960441874,30710.682841362886,27785.790652923137,27785.790652923137,Project 159
